id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id,political_axis,political_weight,political_interpretation,score_inversion
gat_q_01_pistes_cyclables,"La municipalité devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,1,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,social,1.20,progressive,false
gat_q_12_taxes,"La Ville de Gatineau devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,10,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
gat_q11_pouvoir_conseils_secteur,La Ville de Gatineau devrait donner plus de pouvoir aux conseils de secteur pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale dans les secteurs de Gatineau.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,11,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
gat_q12_reduction_dette,"La Ville de Gatineau devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,12,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
gat_q13_avantages_fiscaux_entreprises,La Ville de Gatineau devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,13,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
gat_q14_limitation_touristes,La Ville de Gatineau devrait limiter le nombre de touristes dans certains secteurs pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,14,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
gat_q15_soutien_organismes_communautaires,"La Ville de Gatineau devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,15,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
gat_q16_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les secteurs de Gatineau.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,16,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
gat_q17_investissement_infrastructures_loisirs_sportives,"La Ville de Gatineau devrait investir plus dans les parcs, arénas et terrains de sport de secteur.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,17,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
gat_q18_protection_patrimoine,"La Ville de Gatineau devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,18,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau,neutral,1.00,neutral,false
