id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id,political_axis,political_weight,political_interpretation,score_inversion
lng_aeroport_qualite_vie,"La Ville de Longueuil devrait limiter l'expansion aéroportuaire et le développement d'activités connexes pour préserver la qualité de vie des résidents, même si cela réduit les opportunités économiques locales.",Développement économique et social,agreement,Cette question évalue l'équilibre entre le développement économique aéroportuaire et la protection de la qualité de vie résidentielle.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,3,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,21,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,"[""Transport et mobilité"", ""Logement abordable"", ""Environnement et espaces verts"", ""Sécurité publique"", ""Gestion des finances municipales"", ""Services municipaux"", ""Lutte aux changements climatiques"", ""Patrimoine et identité"", ""Transport métropolitain"", ""Développement aéroportuaire""]",longueuil,neutral,1.00,neutral,false
lng_q10_transition_carboneutre,"La Ville de Longueuil devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,10,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q11_reduction_dechets,La Ville de Longueuil devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,11,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q12_augmentation_taxes,"La Ville de Longueuil devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,12,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q13_pouvoir_conseils_quartier,La Ville de Longueuil devrait donner plus de pouvoir aux conseils d'arrondissement pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,13,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q14_reduction_dette,"La Ville de Longueuil devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,14,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q15_avantages_fiscaux_entreprises,La Ville de Longueuil devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,15,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q16_limitation_touristes,La Ville de Longueuil devrait limiter le nombre de touristes dans certains arrondissements pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,16,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q17_soutien_organismes_communautaires,"La Ville de Longueuil devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,17,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
